Plate name,Plate Code[R1],Plate Code[R2],Well,Contents,TargetGene,TargetGeneNum,Count,Nuc Elongation[R2]_Nuclei,Nuc Intensity[R2]_Reference 1,G0-Phase (%) [Cell cycle][R2]_Reference 1.Reference 2,Nuc/Cell Intensity[R2]_Nuclei,Spacing (MIN)[R2]_Coordination,G1-G2M (%) [Cell cycle][R2]_Reference 1.Reference 2,Intensity (N+C)[R2]_Nuclei,Compactness[R2]_Nuclei,Nuc Intensity CV[R2]_Nuclei,Nuc Intensity[R2]_Reference 2,Neighbor Count (MIN)[R2]_Coordination,IxA (Cell)[R2]_Nuclei,Ki67 granule (%) [ki67-Cyto-granule][R2]_Organelles,Cell Intensity[R2]_Nuclei,Neighbor Count (SOI)[R2]_Coordination,Spacing (SOI)[R2]_Coordination,Neighbor Count (Lune)[R2]_Coordination,Nuc Intensity[R2]_Cells,Normal cell (%) [Enlarged nuclei][R2]_Nuclei,Grappe-like (%) [Grappe-shape][R2]_Nuclei,IxA (Nuc)[R2]_Nuclei,Chord Ratio[R2]_Nuclei,Normal shape (%) [Grappe-shape][R2]_Nuclei,Spacing (Lune)[R2]_Coordination,Nuc Intensity[R2]_Nuclei,S-Phase (%) [Cell cycle][R2]_Reference 1.Reference 2,Spacing (Gabriel)[R2]_Coordination,IxA (N+C)[R2]_Nuclei,Nuc Displacement[R2]_Nuclei,ki67 no granule (%) [ki67-Cyto-granule][R2]_Organelles,Light Flux[R2]_Nuclei,Bigger cell (%) [Enlarged nuclei][R2]_Nuclei,Nuc Area[R2]_Nuclei,Neighbor Count (Gabriel)[R2]_Coordination,Intensity[R2]_Organelles,Nuc 1/(Form Factor)[R2]_Nuclei
Plate_Prest2012_P09_P3,20110438,20110460,L - 03,Paroxetine Hydrochloride ,CHRM4,21,2,0.3548820948,0.2901315656,0.8621815669,-0.1512736293,1.5817610404,0.5744198777,-1.8765421913,-1.2018384818,-0.7002087416,-1.4525443222,-0.8287912045,-0.1254498963,2.2115464169,-1.584095668,-1.0271813509,1.8020038067,-1.5247680131,-1.4525443222,0.8137996203,0.064405922,-0.5362681342,0.6175747018,-0.0644067558,1.3428776376,-1.0690290064,-1.4456738473,1.18917872,-0.0247672289,0.9034763159,-2.2115506612,0.5614107896,-0.8138087432,1.8140464294,-0.3170523059,0.5357530463,-0.76590849
Plate_Prest2012_P01_P1,20110436,20110458,N - 17,Tropicamide ,CHRM4,21,2,0.1467519196,-0.2475447438,0.0732071533,-1.1606191356,0.6269400053,-1.5794549499,-1.8414741683,-0.6417131871,-0.8624480908,2.0861034017,-0.0207796067,-0.4390611102,-0.164033967,-1.9382149764,-0.5028987444,0.7798908725,-0.1980545633,2.0861034017,0.1117852391,-0.2358661739,-1.3671427511,0.0632547957,0.2358652983,0.4636517339,-1.5304476386,1.8217948227,0.476565135,-1.2296790814,-0.6526969171,0.1640221615,-0.8999972258,-0.1117952899,0.7541418225,-0.091195883,-0.8763483114,-0.1473048172
Plate_Prest2012_P09_P3,20110438,20110460,F - 10,Metyrapone ,CYP11B1,23,2,-1.1984445442,-0.9083143948,0.1563131908,-0.2604619514,-0.2593061993,-1.6937298634,-0.3968813789,0.4419244507,-0.856209645,1.7345264283,0.0009420261,-0.1256607317,-0.1755908961,-0.3907891913,-0.0813728427,-0.1226729882,0.6899544191,1.7345264283,-1.066140722,1.6984075602,0.655751529,-0.4354668491,-1.6984082277,-0.4075302063,-0.4173489981,1.9507308453,-0.5947724844,0.7827768177,1.0763296828,0.1755917392,0.8515807759,1.0661429962,3.2568262771,0.5553314711,-0.474583495,0.5925929438
Plate_Prest2012_P13_P4,20110439,20110461,H - 07,Mitotane ,CYP11B1,23,2,1.2614883413,0.4825873968,-0.1062849953,-0.0493254082,2.6668408512,-0.1081951467,-2.1693114827,-2.2937312809,-0.1943938729,-0.0173773673,-3.5005687763,2.7519283334,0.8260136295,-2.3506301075,-3.207184629,2.5912551745,-3.2079960482,-0.0173773673,0.313006536,-1.1733843711,-0.1665800815,2.1139024688,1.1733833593,2.4961600018,-1.0838509946,0.173697601,2.369373144,0.8093446436,-1.2505946592,-0.8260212259,1.5618289832,-0.3130070099,3.0001626353,-3.4728283692,-0.0548463177,-2.4247866486
Plate_Prest2012_P09_P3,20110438,20110460,E - 17,Acitretin ,CYP26A1,26,2,2.3187647826,0.0772477531,-0.7812461695,-1.6722313111,0.001736845,2.7656102588,-3.5795375734,-2.647496595,-0.7682496381,-3.0197258105,0.0157278741,-0.1265915916,-1.1624844408,-2.3704964862,-0.8553858412,-0.1279927287,-1.2267026481,-3.0197258105,1.6653244461,-3.2173940599,-3.3522176511,2.3280536834,3.2173925271,0.0116126715,-2.9723121475,-2.7346229982,0.056613941,-3.1805856144,1.0330182947,1.1624828044,-2.0208712835,-1.6653302747,-0.2719435387,0.0736228413,-0.8793511102,-2.340351614
Plate_Prest2012_P05_P2,20110437,20110459,F - 22,Etretinate ,CYP26A1,26,2,1.4618174843,-1.7007930533,1.3626045121,-1.0265088424,2.1739464527,-0.3999022798,-1.4948851479,-2.4152542572,-0.4175290677,-0.7853922344,0.3744348883,-0.1244039385,-0.4656603839,0.0077789385,-2.0005443326,2.3997078843,-1.8679103089,-0.7853922344,0.7619812813,-2.8709943571,-0.1386768523,2.6667921701,2.8709973158,2.3559274982,-0.8999476654,-1.186018089,2.3946939977,0.3242098802,-0.5637298574,0.4656518478,-1.2447215798,-0.7619832251,0.2289063404,-2.164502814,-0.5365056001,-2.0092627158
Plate_Prest2012_P05_P2,20110437,20110459,G - 12,Cyclosporin A ,CYP2C8,29,2,-3.4894519092,-1.0429809971,2.0561224703,-1.5962496015,1.7576328536,-0.6225533612,-3.333854069,0.1206647101,-2.2734949634,-1.4112203001,-2.923287211,-0.1254469607,-0.6566076213,-2.5468882353,-2.382395221,2.1734128315,-0.0695345974,-1.4112203001,-0.2280431863,3.7962996912,-0.1392458449,-2.3268030184,-3.7963015711,1.8668807768,-2.4574555039,-1.7651168976,1.6045906913,-0.9296415154,-1.2913098953,0.6566207957,-0.2639381411,0.228040864,4.2725221225,-1.0114204977,-2.1263687829,0.2136483493
Plate_Prest2012_P05_P2,20110437,20110459,D - 06,Mometasone furoate ,CYP2C8,29,2,-0.6912877043,-0.521278117,-0.1624798466,-1.4561882871,1.483806032,-0.0933084632,-2.8573084607,-1.1837128371,-1.2986530494,3.2154089643,1.6315508755,-0.1259760115,3.5350002226,-2.2396773598,0.4570374489,1.7259552009,-1.0600216023,3.2154089643,1.1438688457,-1.4211377226,-0.1392659915,0.4125395899,1.421138816,0.9270002581,-2.1902071396,0.3229390372,0.7121326661,-1.3180841868,-1.2425849055,-3.5350064912,-0.5625294079,-1.1438694975,2.7412727728,-0.4656938983,2.5834054561,-1.6460974162
Plate_Prest2012_P05_P2,20110437,20110459,L - 12,(-)-Emtricitabine ,DCK,34,2,-0.141566709,-1.0259554992,0.8705999348,-0.5452082229,0.4706437548,-0.085139627,-0.5446347689,-0.4480018159,-0.4248657301,-1.0486965222,-0.471283793,-0.1252078475,-0.1618051459,-0.0090414676,-1.1610016478,0.6775514338,-0.6695119493,-1.0486965222,-1.008681701,0.3160105965,-0.1377949562,0.0946480504,-0.3160119185,0.2685126369,-0.463229575,-0.9771036703,0.2320465156,0.5753128269,0.3492656348,0.1618156649,-0.0521932998,1.0086801049,1.2306055228,-0.9907378375,0.6282906014,-0.2530943367
Plate_Prest2012_P13_P4,20110439,20110461,N - 07,Gemcitabine ,DCK,34,2,-0.7635651383,4.1501355882,-1.2991264919,-3.3045957027,9.5416162447,1.7228492622,-4.3341852745,0.4863306268,-3.1392090686,-0.6936989209,-0.1247024395,6.7148709875,7.4070920793,-3.1296143933,-1.9953148005,10.439155594,-1.6772767004,-0.6936989209,-11.8750237601,5.545000755,-1.3356940041,-0.6698288616,-5.5450006549,7.7461044117,-4.0227278089,-1.1077263485,7.205958785,1.2265458774,-8.4664184231,-7.4071222385,0.6764077299,11.8750365784,14.118982241,-1.286949382,4.9035724113,3.8168351324
